fishID.univ,filename,habitat,watershed,sex,standard.length.from.calipers,jaw.opening.in.lever.length.mm,jaw.closing.in.lever.length.mm,jaw.out.lever.length.mm,buccal.cavity.length.mm,epaxial.area.mm.squared,gape.width.mm,L.outlever.neurocranium.mm,L.inlever.epaxial.height.mm,KT.fixed.link.mm,KT.coupler.link.mm,KT.input.link.mm,KT.output.link.mm,KT.diagonal.mm
RobS13.011,RobS13.01_11.JPG,stream,Roberts,M,55.78,1.08021266,1.720530042,5.15311854,13.89635819,15.3166425,5.05,18.28857859,2.030058234,9.375515581,8.485107119,6.314803436,1.531620713,8.47240596
RobS13.012,RobS13.01_12.JPG,stream,Roberts,M,48.61,0.90986317,1.481846257,4.167304363,11.38292672,15.24128604,3.81,16.35463832,2.54312435,8.274867738,7.203040982,4.862628678,1.184870748,7.07992156
RobS13.013,RobS13.01_13.JPG,stream,Roberts,F?,37.62,0.615703415,0.991813838,3.055644712,8.24887934,15.3166425,2.34,12.22390061,1.921275008,6.354513036,5.413324906,3.698870362,0.578308927,5.427888086
RobS13.014,RobS13.01_14.JPG,stream,Roberts,F,59.76,1.113486028,1.670379714,4.74229048,12.03907256,15.24128604,4.92,18.75406833,3.317373515,9.873108036,7.864811124,6.222762319,1.608989804,7.764869375
RobS13.019,RobS13.01_19.JPG,stream,Roberts,M,50.17,0.883379226,1.452253894,4.347190413,10.95561641,15.23980711,4.16,17.43316035,2.694675663,8.601007067,7.369545962,4.949701181,1.187191018,7.052718905
RobS13.020,RobS13.01_20.JPG,stream,Roberts,M,38.88,0.725251186,1.099017233,3.078570772,8.980469707,15.39001069,2.64,12.88825837,2.247598024,5.970328003,5.188429073,3.51652359,0.849253001,5.139546613
RobS13.021,RobS13.01_21.JPG,stream,Roberts,F,52.01,1.035818806,1.380628354,4.322594108,11.18990888,15.27889458,3.66,16.64842169,3.166789326,8.436565965,7.496902003,5.493592382,1.351257598,7.202508345
RobS13.022,RobS13.01_22.JPG,stream,Roberts,M,55.51,1.107131536,1.869396558,5.146401376,13.19793425,15.46951389,4.42,18.86964743,2.867499133,9.781729046,8.00392409,6.336586079,1.239944333,7.764803457
RobS13.023,RobS13.01_23.JPG,stream,Roberts,M,54.01,1.014945267,1.790010625,4.839946887,13.73624297,15.24174778,4.45,18.46231636,2.942477297,10.09651194,8.184344316,5.845375198,1.321431216,8.238509593
RobS13.024,RobS13.01_24.JPG,stream,Roberts,F,47.11,0.902508076,1.230181111,3.839597909,10.61217536,15.20464651,3.57,15.27045646,2.731076593,7.506051658,6.238819842,4.885201229,1.314096026,6.154321658
RobS13.029,RobS13.01_29.JPG,stream,Roberts,F,55.31,NA,NA,NA,12.23359844,15.3166425,4.39,17.57807329,3.912904868,8.459359477,7.045791491,5.418050047,1.508108853,7.044970456
RobS13.030,RobS13.01_30.JPG,stream,Roberts,F,49.02,0.789124247,1.174999218,3.515278044,9.973221497,15.19018157,3.33,15.05113657,2.781982833,6.957456212,6.228464359,3.947169924,0.835087395,5.959379115
RobS13.031,RobS13.01_31.JPG,stream,Roberts,M,46.25,1.03586493,1.084686461,4.096767119,10.45837876,15.29229797,3.16,15.66566891,2.876060181,7.390656812,6.709228602,4.731996831,1.004364227,6.64078171
SwaL13.001,SwaL13.01_01.JPG,lake,Swan,M,44.2,1.03463584,1.40206744,4.013326646,9.776622421,16.3485821,3.01,15.40757413,2.5,7.74428662,6.922839305,4.735844534,1.064724422,6.733261006
SwaL13.002,SwaL13.01_02.JPG,lake,Swan,M,35.71,0.813699381,1.193074026,3.298347899,8.12983352,16.28560485,2.41,12.38934944,2.045962825,6.648561338,5.86666171,3.869386617,0.698449814,5.673257086
SwaL13.003,SwaL13.01_03.JPG,lake,Swan,M,36.5,0.814760354,1.138983907,3.273223871,8.128351739,16.29481346,2.17,12.24812403,1.528195879,6.401006069,5.652357519,3.581046469,0.904476977,5.551714846
SwaL13.004,SwaL13.01_04.JPG,lake,Swan,M?,34.58,0.739825456,1.050336646,2.952559633,8.601537502,16.02000879,2.04,11.85623507,1.568940299,5.864384328,5.476436567,3.214373134,0.86788806,5.249404596
SwaL13.005,SwaL13.01_05.JPG,lake,Swan,M?,29.27,0.557066528,0.7805767,2.447119932,6.942578131,15.78072812,1.94,9.992665428,1.531401487,5.170628253,4.573851301,2.877862454,0.552643123,4.431906587
SwaL13.006,SwaL13.01_06.JPG,lake,Swan,F,36.4,0.653544086,1.144012896,2.986207909,8.461202773,16.10245639,2.11,11.91526618,2.229259676,5.995551382,5.505013731,3.501569591,0.649925116,5.465477175
SwaL13.007,SwaL13.01_07.JPG,lake,Swan,M,36.14,0.87085645,1.094644174,3.53135872,9.280214468,16.07408468,2.96,13.17691669,2.898040369,6.597521517,6.020848865,3.664217724,0.748096151,5.912084899
SwaL13.011,SwaL13.01_11.JPG,lake,Swan,F,49.52,0.88783364,1.445529892,4.137374829,11.11882298,16.02050637,3.4,16.52634501,2.960582948,8.305375344,7.535373632,5.239013848,1.190380865,7.262440538
SwaL13.012,SwaL13.01_12.JPG,lake,Swan,unknown,34.47,0.720522381,0.988003716,3.231282104,8.445722037,16.18007971,2.51,12.26365436,1.820441163,6.166897526,5.474748639,3.950068472,0.795663554,5.265608084
SwaL13.013,SwaL13.01_13.JPG,lake,Swan,M,45.11,1.101817082,1.367835221,4.18797989,10.71796055,16.35009604,3.6,16.00276308,2.408589983,8.042513839,7.130475644,4.93899984,1.02608761,6.785080374
SwaL13.014,SwaL13.01_14.JPG,lake,Swan,F,50.78,1.134867457,1.743501783,4.516048817,11.45812466,16.23845249,3.22,16.89277323,2.581736059,8.342464684,7.107884758,4.869115242,0.953423792,6.842663529
SwaL13.015,SwaL13.01_15.JPG,lake,Swan,M,38.04,0.86632032,1.22558128,3.587217672,9.890368687,16.02072483,2.74,13.82648418,2.227139883,7.235452788,6.028809427,4.339787979,0.77865378,5.850521276
SwaL13.016,SwaL13.01_16.JPG,lake,Swan,F,44.16,0.931004641,1.23850697,3.642481142,9.281677783,16.26549751,2.79,14.11844061,2.504195052,7.187608965,6.374177811,4.391221208,0.842787224,5.974681917
SwaL13.017,SwaL13.01_17.JPG,lake,Swan,F,45.39,0.973295784,1.398778776,4.240670462,10.48403538,16.23962912,3.11,15.34277323,2.30602974,7.912628253,7.714089219,4.647881041,0.981442379,7.324929552
SwaL13.019,SwaL13.01_19.JPG,lake,Swan,unknown,35.3,0.661551596,1.064761809,2.999948085,8.736328365,16.23845249,2.2,12.26133224,1.829829389,6.334871226,5.642073449,3.62545078,0.834331129,5.363777537
SwaL13.020,SwaL13.01_20.JPG,lake,Swan,F,36.3,0.734699491,1.253603562,3.549130789,8.76276347,16.18355397,2.45,12.29409554,2.494904085,6.235585516,5.685241806,3.631674968,0.710150549,5.573880796
SwaL13.021,SwaL13.01_21.JPG,lake,Swan,F,40.75,0.727453375,1.275709591,3.511193976,9.59670821,16.07457665,2.62,13.61674492,2.482567715,6.489154336,6.155797422,3.965012839,0.944256318,5.949909427
SwaL13.022,SwaL13.01_22.JPG,lake,Swan,F,38.67,0.852575109,1.268051837,3.315950913,8.573685339,16.10245639,2.52,13.19794024,2.235419155,6.583131941,6.16120927,3.928726897,0.732251334,6.043108167
SwaL13.023,SwaL13.01_23.JPG,lake,Swan,F,36.57,0.649546199,1.117965826,3.227799223,8.525250965,16.38990912,2.37,12.72973532,1.897315836,6.385441441,5.683687512,4.090121684,0.730347938,5.657856461
SwaL13.024,SwaL13.01_24.JPG,lake,Swan,F,34.66,0.696329955,1.151209421,2.811552186,8.168958253,16.1012172,2.44,11.60338712,2.171720927,6.264292358,5.689639021,3.515029698,0.536126515,5.574815524
