habitat,watershed,dorsal.spine.1.len.mm.lateral,dorsal.spine.2.len.mm.lateral,dorsal.fin.len.mm.lateral,caudal.depth.mm.lateral,anal.fin.len.mm.lateral,pect.fin.insertion.len.mm.lateral,body.depth.mm.lateral,mouth.len.mm.lateral,snout.len.mm.lateral,eye.diam.mm.lateral,head.len.mm.lateral,pect.fin.wid.len.mm.lateral,pect.fin.len.mm.lateral,pect.fin.perim.mm.lateral,pect.fin.area.mm.lateral,standard.len.mm.lateral,buccal.cavity.length.mm,gape.width.mm,body.width.eye.mm,body.width.midbody.mm,pelvic.girdle.width.mm,pelvic.girdle.diamond.width.mm,pelvic.girdle.length.mm,pelvic.girdle.diamond.length.mm,body.width.anal.1.mm,body.width.anal.2.mm,Habitat.L.0..S.1,Mass.g,Standard.Length.mm,Left.Side.Pelvic.Spine.Length.mm,Left.Side.Plate.Count,Right.Side.Pelvic.Spine.Length.mm,Right.side.plate.count,Right.side.gill.raker.number.insitu,Right.Side.Gill.Raker.Number.dissected,Length.longest.raker.mm,Length.2nd.longest.raker.mm,Length.3rd.longest.raker.mm,raker.density.per.mm,fishID.univ,filename,habitat,watershed,sex,standard.length.from.calipers,jaw.opening.in.lever.length.mm,jaw.closing.in.lever.length.mm,jaw.out.lever.length.mm,buccal.cavity.length.mm,epaxial.area.mm.squared,gape.width.mm,L.outlever.neurocranium.mm,L.inlever.epaxial.height.mm,KT.fixed.link.mm,KT.coupler.link.mm,KT.input.link.mm,KT.output.link.mm,KT.diagonal.mm
stream,beaver,4.86,5.35,13.59,2.49,9.36,3.3,10.99,2.39,4.12,4.54,15.2,9.31,6.33,25.04,1030.07,52.79,13.11,4.35,3.35,4.08,4.92,3.25,8.88,6.16,4.39,3.24,1,1.84,51.82,7.31,6,7.1,6,17,17,1.1,1.03,1.08,2.25,BeaS13.060,Bea13LS.02_60.JPG,stream,Beaver,M,51.82,0.842790715,1.649369289,4.747898625,13.11420481,15.46522713,3.76,16.57915827,2.040153232,9.513466995,8.624801909,6.547922521,1.263232425,8.55252956
stream,beaver,5.84,5.94,12.76,2.59,10.38,3.85,12.58,2.55,4.3,4.73,16.04,10.13,6.72,27.47,1170.64,52.76,11.41,4.69,4.39,5.67,5.66,3.86,8.98,5.92,5.35,3.71,1,2.46,52.52,7.99,6,7.71,6,17,17,1.04,1.15,1.13,2.25,BeaS13.061,Bea13LS.02_61.JPG,stream,Beaver,M,52.52,1.040065548,1.798810067,4.943303174,11.40611617,15.35537319,3.65,17.29539864,2.564433423,9.246196249,9.107690829,6.804584532,1.392866013,8.781057751
stream,beaver,5.13,5.6,14.01,2.51,10.73,2.44,12.63,2.39,4.46,4.73,16.15,9.92,6.71,25.99,1126.86,52.53,12.45,4.36,3.73,5.86,6.34,4.61,9,5.43,5.08,3.43,1,2.36,51.71,6.22,6,6.07,5,17,17,1.13,1.24,0.89,2.39,BeaS13.062,Bea13LS.02_62.JPG,stream,Beaver,M?,51.71,0.93496142,1.726425287,4.674291336,12.45177989,15.39001069,4.14,16.68470234,2.402857414,9.065322786,8.65819895,5.937357741,1.308717859,8.747754485
stream,beaver,5.39,5.66,11.82,2.64,7.57,2.91,11.39,1.88,3.3,3.91,13.91,NA,NA,NA,NA,49.75,11.36,3.9,3.73,4.7,6.02,4.51,9.57,7.22,4,2.77,1,1.9,50.52,7.23,6,7.19,7,18,18,1.09,1.09,1.07,2.52,BeaS13.064,Bea13LS.02_64.JPG,stream,Beaver,F,50.52,0.792524268,1.380987769,4.179540006,11.35675293,15.50545525,3.58,15.35793223,1.80521627,8.242056701,8.078452196,5.817587374,1.25551909,7.826431431
stream,beaver,4.34,5.65,11.89,2.25,7.99,3.16,12.02,1.59,4.17,4.18,14.79,9.31,6.49,24.88,1034.72,51.36,9.73,4,3.77,5.25,5.76,4.56,9.29,6.49,4.27,3.29,1,2.18,50.73,7.14,5,6.8,5,20,20,0.83,0.92,1.01,2.81,BeaS13.069,Bea13LS.02_69.JPG,stream,Beaver,F,50.73,0.863478433,1.470368075,4.072155693,9.733888548,15.3166425,2.11,15.56218982,2.177788158,8.918726507,8.823590997,6.00428444,0.894078896,8.644348051
stream,beaver,6.26,6.06,11.89,2.47,8.26,2.71,10.9,2.25,4.03,4.4,15.04,9.15,6.34,24.47,994.75,52.02,11.62,3.65,2.76,4.59,5.34,3.78,9.85,6.35,4.71,3.01,1,1.93,52.3,7.91,6,8.06,6,15,15,1.06,0.97,1.09,2.66,BeaS13.070,Bea13LS.02_70.JPG,stream,Beaver,F,52.3,0.960781515,1.47662073,4.47847824,11.61913192,15.45619124,2.64,16.35269525,1.912937727,9.001503488,9.06349488,6.08405367,1.365145623,8.893288378
stream,beaver,5.58,6.42,11.53,2.39,8.72,2.6,10.17,2.05,3.29,4.17,13.27,9.35,6.69,25.08,948.23,46.3,10.12,3.57,3.28,4.26,4.79,2.65,9.21,5.6,4.19,3.34,1,1.51,46.17,7.55,7,7.61,7,18,18,1,1.01,1.03,2.46,BeaS13.071,Bea13LS.02_71.JPG,stream,Beaver,M,46.17,0.957247141,1.464806401,4.218912567,10.07558132,15.49037441,3.7,14.60764363,1.9438587,7.634211201,7.404653019,5.451771003,1.314384235,7.254603709
stream,beaver,5.69,5.56,12.26,2.16,8.15,2.84,10.79,2.14,3.87,4.09,13.99,7.62,6.57,23,805.82,47.26,10.16,3.12,2.18,4.6,4.96,2.82,9.6,6.07,4.19,2.99,1,1.63,47.23,7.53,6,7.72,6,19,19,1.08,1.08,1.09,2.74,BeaS13.073,Bea13LS.02_73.JPG,stream,Beaver,M,47.23,0.853156299,1.357634101,4.095802444,10.16281585,15.54656755,3.25,15.72028622,2.051769282,8.452771116,7.711098553,5.108291894,0.942634564,7.703347792
stream,beaver,5.7,6.49,12.96,2.35,9.68,2.27,11.04,3.16,4.07,4.03,14.51,9.28,6.27,25.32,1001.18,49.1,11.73,3.49,2.34,4.28,5.44,3.34,8.54,5.32,4.97,3.54,1,1.84,49.1,7.7,5,7.85,5,17,17 top 4 seperated,1.07,1.09,0.97,2.72,BeaS13.077,Bea13LS.02_77.JPG,stream,Beaver,M,49.1,0.913064606,1.548438132,4.351342435,11.73472202,15.3661979,3.47,15.8350082,2.047473848,8.40839498,7.687827344,5.372452003,1.182918374,7.774220332
stream,beaver,5.34,6.18,10.02,2.06,7.18,3,10.88,1.31,3.34,4.4,13.22,9.07,5.75,23.97,949.45,46.37,10.36,3.76,3.85,5.35,5.73,3.97,9.73,6.97,4.14,3.24,1,1.85,48.14,7.84,4,8.14,4,16,15bottom one left in count confirmed,0.95,1,0.99,2.63,BeaS13.078,Bea13LS.02_78.JPG,stream,Beaver,F,48.14,0.932794815,1.353560225,3.963581933,10.35860257,15.46837007,2.52,14.46861334,2.177068105,7.588149065,7.119718063,5.30755229,0.997349277,6.949879039
