fishID.univ,n,fishID.lateral,watershed,habitat,watershed.habitat,dorsal.spine.1.len.mm.lateral,dorsal.spine.2.len.mm.lateral,dorsal.fin.len.mm.lateral,caudal.depth.mm.lateral,anal.fin.len.mm.lateral,pect.fin.insertion.len.mm.lateral,body.depth.mm.lateral,mouth.len.mm.lateral,snout.len.mm.lateral,eye.diam.mm.lateral,head.len.mm.lateral,pect.fin.wid.len.mm.lateral,pect.fin.len.mm.lateral,pect.fin.perim.mm.lateral,pect.fin.area.mm.lateral,standard.len.mm.lateral,n.1,file.name.ventral,watershed.1,habitat.1,buccal.cavity.length.mm,gape.width.mm,body.width.eye.mm,body.width.midbody.mm,pelvic.girdle.width.mm,pelvic.girdle.diamond.width.mm,pelvic.girdle.length.mm,pelvic.girdle.diamond.length.mm,body.width.anal.1.mm,body.width.anal.2.mm,FishID.ArmorGills,Watershed,Habitat.L.0..S.1,sequenced.neuro..funct..from.these,Mass.g,Standard.Length.mm,Left.Side.Pelvic.Spine.Length.mm,Left.Side.Plate.Count,Right.Side.Pelvic.Spine.Length.mm,Right.side.plate.count,Notes,Right.side.gill.raker.number.insitu,Right.Side.Gill.Raker.Number.dissected,FileName.GillRakerDig,Length.longest.raker.mm,Length.2nd.longest.raker.mm,Length.3rd.longest.raker.mm,raker.density.per.mm
BeaL13.021,21,BeaL13.01_21.JPG,beaver,lake,beaver.L,4.24,5.23,10.64,1.78,7.32,2.9,8.64,1.98,2.87,4.1,11.79,7.44,4.96,20.41,837.85,43.33,21,BeaL13.01_21_ventral_retake.JPG,beaver,lake,9.9,3.22,3.04,3.98,4.02,1.85,6.47,5.61,3.65,2.9,BeaL13.01_21,Beaver,0,no,1.08,42.69,6.1,5,6.44,4,,18,18,BeaL13.01_21.JPG,0.8,0.65,0.8,3.17
BeaL13.022,22,BeaL13.01_22_side_retake.JPG,beaver,lake,beaver.L,5.02,6.13,14.85,2.41,11.2,3.07,11.32,2.39,4.8,4.99,16.52,10.42,6.6,26.64,1209.75,55.94,22,BeaL13.01_22b.JPG,beaver,lake,14.09,3.7,3.46,4.08,4.57,2.38,9.64,7.75,5.39,3.78,BeaL13.01_22,Beaver,0,yes,2.2,56.76,7.68,4,7.6,5,,18,18,BeaL13.01_22.JPG,1.52,1.47,1.28,2.3
BeaL13.023,23,BeaL13.01_23.JPG,beaver,lake,beaver.L,4.68,5.29,10.75,1.84,6.89,2.22,8.74,2.1,2.87,4.47,13,8.1,5.83,21.83,1087.78,46.09,23,BeaL13.01_23b_ventral_retake.JPG,beaver,lake,10.41,3.08,2.52,3.61,3.72,2.29,7.27,5.44,3.73,3.07,BeaL13.01_23,Beaver,0,no,1.17,45.65,6.14,5,6.01,5,,17,17,BeaL13.01_23.JPG,0.77,0.85,0.7,2.68
BeaL13.024,24,BeaL13.01_24.JPG,beaver,lake,beaver.L,4.1,5.65,11.28,1.82,7.43,2.12,9.62,1.72,3.39,4.23,13.3,8.36,5.83,22.5,1142.33,48.2,24,BeaL13.01_24.JPG,beaver,lake,10.91,3.24,2.83,3.76,4,1.99,7.31,6.88,3.68,2.68,BeaL13.01_24,Beaver,0,no,1.3,47.17,6.6,3,6.54,3,,18,18,BeaL13.01_24.JPG,0.85,0.81,0.64,2.35
BeaL13.025,25,BeaL13.01_25.JPG,beaver,lake,beaver.L,4.01,4.84,10.87,1.86,7.74,2.44,9.24,1.65,3.45,4.38,13.92,8.61,7,23.6,1307.8,50.51,25,BeaL13.01_25_ventral_retake.JPG,beaver,lake,10.85,3.25,3.84,3.82,4.15,2.44,8.48,7.32,4.55,3.12,BeaL13.01_25,Beaver,0,yes,1.38,49.69,6.97,5,7.08,5,,17,17,BeaL13.01_25.JPG,0.93,1.11,1.02,2.69
BeaL13.026,26,BeaL13.01_26_side_retake.JPG,beaver,lake,beaver.L,5.01,5.48,11.27,1.77,8.37,2.89,8.56,1.52,2.87,3.91,12.44,7.2,6.57,22.16,856.95,47.96,26,BeaL13.01_26.JPG,beaver,lake,10.35,3.32,2.79,2.95,3.48,2.01,8.5,6.78,4.07,2.81,BeaL13.01_26,Beaver,0,yes,1.25,48.74,7.67,4,7.28,4,,19,19,BeaL13.01_26.JPG,0.98,0.98,0.99,3.41
BeaL13.027,27,BeaL13.01_27.JPG,beaver,lake,beaver.L,3.28,4.25,9.01,1.43,6.35,2.38,7.57,1.51,2.72,3.66,10.92,6.03,4.08,15.8,530.93,38.87,27,BeaL13.01_27.JPG,beaver,lake,8.55,2.3,2.02,2.72,3.05,1.66,4.7,3.94,3.32,2.63,BeaL13.01_27,Beaver,0,no,0.65,38.07,5.42,5,5.33,5,,18,18,BeaL13.01_27.JPG,0.67,0.64,0.57,3.5
BeaL13.028,28,BeaL13.01_28.JPG,beaver,lake,beaver.L,3.58,4.37,7.87,1.26,5.12,1.91,7.83,1.33,2.81,3.16,10.66,7.15,4.32,18.25,689.03,37.54,28,BeaL13.01_28.JPG,beaver,lake,9.01,2.4,1.95,2.95,3.08,2.01,5.53,4.61,3,2.28,BeaL13.01_28,Beaver,0,no,0.62,36.48,4.95,5,5.56,5,,17,17,BeaL13.01_28.JPG,0.67,0.64,0.67,4.1
BeaL13.029,29,BeaL13.01_29.JPG,beaver,lake,beaver.L,3.57,4.08,8.15,1.48,5.38,1.93,7.04,1.27,3.05,3.56,10.74,5.2,4,15.17,493.37,37.23,29,BeaL13.01_29_ventral_retake.JPG,beaver,lake,8.94,2.78,2.14,2.67,2.81,1.5,4.86,4.09,3.06,1.9,BeaL13.01_29,Beaver,0,no,0.58,36.42,4.65,5,4.69,4,,18,18,BeaL13.01_29.JPG,0.66,0.76,0.6,3.48
BeaL13.030,30,BeaL13.01_30_side_retake.JPG,beaver,lake,beaver.L,3.23,3.77,7.64,1.35,6.17,1.84,7.06,1.67,2.34,3.54,9.98,6.58,4.44,17.06,483.06,35.56,30,BeaL13.01_30.JPG,beaver,lake,9.05,2.37,1.97,2.65,2.94,1.33,5.77,4.29,3.48,2.48,BeaL13.01_30,Beaver,0,no,0.63,36.67,4.92,5,5.06,5,,18,18,BeaL13.01_30.JPG,0.73,0.7,0.76,3.81
