fishID.univ,n,fishID.lateral,watershed,habitat,watershed.habitat,dorsal.spine.1.len.mm.lateral,dorsal.spine.2.len.mm.lateral,dorsal.fin.len.mm.lateral,caudal.depth.mm.lateral,anal.fin.len.mm.lateral,pect.fin.insertion.len.mm.lateral,body.depth.mm.lateral,mouth.len.mm.lateral,snout.len.mm.lateral,eye.diam.mm.lateral,head.len.mm.lateral,pect.fin.wid.len.mm.lateral,pect.fin.len.mm.lateral,pect.fin.perim.mm.lateral,pect.fin.area.mm.lateral,standard.len.mm.lateral,n.1,file.name.ventral,watershed.1,habitat.1,buccal.cavity.length.mm,gape.width.mm,body.width.eye.mm,body.width.midbody.mm,pelvic.girdle.width.mm,pelvic.girdle.diamond.width.mm,pelvic.girdle.length.mm,pelvic.girdle.diamond.length.mm,body.width.anal.1.mm,body.width.anal.2.mm,FishID.ArmorGills,Watershed,Habitat.L.0..S.1,sequenced.neuro..funct..from.these,Mass.g,Standard.Length.mm,Left.Side.Pelvic.Spine.Length.mm,Left.Side.Plate.Count,Right.Side.Pelvic.Spine.Length.mm,Right.side.plate.count,Notes,Right.side.gill.raker.number.insitu,Right.Side.Gill.Raker.Number.dissected,FileName.GillRakerDig,Length.longest.raker.mm,Length.2nd.longest.raker.mm,Length.3rd.longest.raker.mm,raker.density.per.mm
MisS13.088,28,MisS13.02_88.JPG,misty,stream,misty.S,4.8,5.58,11.89,2.08,9.13,2.38,11.68,1.51,3.33,4.21,13.93,6.99,6.02,20.8,855.7,49.49,28,Mis13LS.02_88.JPG,misty,stream,10.39,3.09,2.97,5.04,5.91,3.93,10.72,7.96,4.13,2.64,Mis13LS.02_88,Misty,1,yes,2,48.89,8.49,6,NA,7,RIGHT CLIPPED,19,19,Mis13LS.02_88.JPG,1.05,0.96,0.99,3.27
MisS13.089,29,MisS13.02_89.JPG,misty,stream,misty.S,4.58,5.15,11.41,2.32,9.15,2.11,11.87,2.64,3.94,4.55,14.8,8.69,6.08,22.97,1058.59,48.7,29,Mis13LS.02_89.JPG,misty,stream,11.96,3.64,3.1,4.77,5.28,3.67,9.81,6.86,4.33,2.91,Mis13LS.02_89,Misty,1,yes,1.82,48.06,6.98,7,NA,7,RIGHT CLIPPED,17,17,Mis13LS.02_89.JPG,1.09,1.11,1.02,3.23
MisS13.090,30,MisS13.02_90_side_retake.JPG,misty,stream,misty.S,3.46,4.55,9.74,1.81,7.15,2.24,9.46,1.65,2.69,3.61,11.76,6.98,5.21,19.11,632.69,41.63,30,Mis13LS.02_90.JPG,misty,stream,9.87,2.51,2.18,3.92,4.23,2.46,8.66,5.8,3.57,2.51,Mis13LS.02_90,Misty,1,yes,1.03,41.37,5.95,7,NA,7,RIGHT CLIPPED,16,16,Mis13LS.02_90a.JPG,0.81,0.8,0.76,3.14
MisS13.091,31,MisS13.02_91.JPG,misty,stream,misty.S,4.33,4.51,7.97,1.35,6.68,1.93,8.19,1.27,2.4,3.43,10.47,5.37,4.35,16.05,514.79,36.01,31,Mis13LS.02_91.JPG,misty,stream,8.21,2.32,1.71,3.22,3.56,2.1,7.52,4.72,3.13,2.35,Mis13LS.02_91,Misty,1,yes,0.66,35.6,6.49,6,NA,7,RIGHT CLIPPED,15,15,Mis13LS.02_91.JPG,0.76,0.73,0.69,3.43
MisS13.092,32,MisS13.02_92.JPG,misty,stream,misty.S,5.23,5.6,12.12,2.1,9.79,2.49,11.79,2.16,3.55,4.35,14.12,7.91,5.89,22.21,974.65,49.62,32,Mis13LS.02_92.JPG,misty,stream,11.41,3.11,2.5,5.21,5.71,3.57,10.34,7.39,4.27,2.83,Mis13LS.02_92,Misty,1,yes,1.86,47.98,7.62,7,NA,7,RIGHT CLIPPED,16,16,Mis13LS.02_92.JPG,0.92,1.02,1.07,3.17
MisS13.093,33,MisS13.02_93.JPG,misty,stream,misty.S,3.93,4.75,7.91,1.56,6.16,1.78,8.66,1.66,2.61,3.28,10.27,4.58,4.54,16.02,506.12,35.84,33,Mis13LS.02_93b_ventral_retake.JPG,misty,stream,8.41,2.2,1.87,3.07,3.73,1.55,7.57,5.02,3.25,2.36,Mis13LS.02_93,Misty,1,yes,0.65,35.08,6.05,7,NA,7,RIGHT CLIPPED,17,17,Mis13LS.02_93.JPG,0.77,0.82,0.78,3.72
MisS13.094,34,MisS13.02_94.JPG,misty,stream,misty.S,5.07,5.94,11.36,2.3,8.41,1.94,12.5,2.04,3.97,4.62,15.01,7.43,6.44,22.6,1213.7,50.42,34,Mis13LS.02_94_ventral_retake.JPG,misty,stream,10.51,3.49,2.97,5.15,5.56,3.81,10.52,7.57,5.33,2.97,Mis13LS.02_94,Misty,1,yes,2.14,49.87,8.33,7,NA,7,RIGHT CLIPPED,17,17,Mis13LS.02_94b.JPG,1.07,1.18,1.1,2.76
MisS13.095,35,MisS13.02_95.JPG,misty,stream,misty.S,3.55,4.87,8.4,1.51,5.44,2.08,8.53,1.36,2.08,3.29,9.39,6.42,4.05,16.82,556.57,34.34,35,Mis13LS.02_95.JPG,misty,stream,8.15,2.36,1.74,3.12,3.67,1.84,6.33,4.8,3.22,2.23,Mis13LS.02_95,Misty,1,no,0.6,34.09,6.5,7,NA,7,RIGHT CLIPPED,16,16,Mis13LS.02_95b.JPG,0.65,0.69,0.7,4.27
MisS13.096,36,MisS13.02_96_side_retake.JPG,misty,stream,misty.S,5.66,5.82,13.91,2.56,9.84,3.37,13.23,2.9,4.61,5.14,16.87,8.27,6.41,25.65,846.63,52.91,36,Mis13LS.02_96b_ventral_retake.JPG,misty,stream,11.46,3.54,3.13,5.91,5.4,2.73,9.01,6.4,4.65,3.13,Mis13LS.02_96,Misty,1,yes,1.83,46.62,7.1,7,NA,7,RIGHT CLIPPED,17,17,Mis13LS.02_96.JPG,1.27,1.25,1.25,3
MisS13.097,37,MisS13.02_97.JPG,misty,stream,misty.S,5.68,NA,12.44,2.67,10.12,2.7,12.8,2.88,3.83,4.93,15.39,9.24,6.42,24.75,1231.64,51.25,37,Mis13LS.02_97b_ventral_retake.JPG,misty,stream,12.64,3.93,3.25,5.9,6,3.22,10.26,7.5,4.88,3.44,Mis13LS.02_97,Misty,1,yes,2.34,50.55,8.06,7,NA,7,RIGHT CLIPPED,18,18,Mis13LS.02_97.JPG,1.29,1.25,1.22,2.75
MisS13.098,38,MisS13.02_98.JPG,misty,stream,misty.S,5.95,6.51,12.76,2.26,10.29,2.58,11.74,2.07,3.56,4.44,13.96,8.97,6.64,25.06,1307.76,52.89,38,Mis13LS.02_98_ventral_retake.JPG,misty,stream,11.04,3.36,2.53,4.81,5.61,3.29,11.68,8.29,4.78,2.65,Mis13LS.02_98,Misty,1,yes,2.03,52.02,8.44,7,NA,6,RIGHT CLIPPED,19,19,Mis13LS.02_98.JPG,0.92,0.97,1.01,3.51
MisS13.099,39,MisS13.02_99.JPG,misty,stream,misty.S,3.25,3.83,7.27,1.26,5.54,1.57,7.53,1.32,2,2.95,8.83,5.14,4.01,14.34,448.75,32.04,39,Mis13LS.02_99c_ventral_retake.JPG,misty,stream,7.19,2.02,1.59,3.18,3.48,1.46,6.84,4.58,3.07,1.98,Mis13LS.02_99,Misty,1,no,0.45,31.65,5.18,7,NA,6,RIGHT CLIPPED,17,17,Mis13LS.02_99.JPG,0.62,0.59,0.58,4.54
MooL13.001,1,MooL13.01_01.JPG,moore,lake,moore.L,9.46,9.66,21.32,3.53,13.98,4.01,20.04,3.74,6,6.38,21.39,12.12,10.15,37,2783.99,76.47,1,MooL13.01_01.JPG,moore,lake,13.62,5.39,5.65,10.54,10.78,7.78,17.76,13.01,6.78,4.07,MooL13.01_01,Moore,0,yes,8.06,74.41,11.45,7,12.72,7,,20,20,MooL13.01_01.JPG,1.63,1.34,1.5,1.88
MooL13.002,2,MooL13.01_02.JPG,moore,lake,moore.L,6.46,6.75,15.73,2.29,13.06,3.17,12.84,3.08,4.8,5.24,17.11,10.04,6.89,27.09,1876.12,58.85,2,MooL13.01_02.JPG,moore,lake,13.48,3.85,3,5.38,6.45,4.72,13.17,8.87,5.18,3.5,MooL13.01_02,Moore,0,yes,2.7,57.67,9.43,6,9.43,6,,18,18,MooL13.01_02.JPG,0.79,0.9,0.65,2.32
MooL13.003,3,MooL13.01_03.JPG,moore,lake,moore.L,7.65,5.55,18.92,3.45,15.13,3.75,17.9,3.69,6.03,6.1,20.58,11.75,8.38,33.05,2453.94,70.21,3,MooL13.01_03.JPG,moore,lake,14.75,4.97,3.32,8.09,8.71,6.68,14.87,10.57,7.16,4.51,MooL13.01_03,Moore,0,yes,5.87,68.97,11.82,6,11.81,6,,18,18,MooL13.01_03.JPG,1.98,1.93,1.95,1.62
MooL13.004,4,MooL13.01_04.JPG,moore,lake,moore.L,5.58,5.94,10.42,1.81,8.73,2.36,9.53,2.04,3.52,3.75,12.22,6.36,5.14,20.08,907.71,42.16,4,MooL13.01_04.JPG,moore,lake,8.8,2.42,2.22,3.41,4.47,2.73,9.63,6.61,4.17,2.53,MooL13.01_04,Moore,0,yes,0.96,41.34,8.46,7,8.51,7,,18,18,MooL13.01_04.JPG,0.87,0.85,0.84,3.56
MooL13.005,5,MooL13.01_05.JPG,moore,lake,moore.L,7.9,8.27,17.42,3.21,14.31,3.68,16.17,3.75,6.87,6.17,21.28,11.92,8.05,31,2339.66,66.18,5,MooL13.01_05.JPG,moore,lake,15.07,4.8,3.82,7.17,7.73,5.46,14.98,10.26,6.29,3.27,MooL13.01_05,Moore,0,yes,4.46,64.99,11.65,6,11.71,7,,19,19,MooL13.01_05.JPG,1.38,1.41,1.32,2.04
MooL13.006,6,MooL13.01_06.JPG,moore,lake,moore.L,7.78,8.54,18.77,3.5,14.11,3.77,16.82,3.99,6.1,6.22,20.85,11.21,8.21,31.3,2474.22,71.03,6,MooL13.01_06.JPG,moore,lake,15.38,4.67,2.69,6.91,8.29,6,15.33,10.77,6.64,4.41,MooL13.01_06,Moore,0,yes,5.03,67.95,11.14,6,10.87,6,,20,20,MooL13.01_06.JPG,1.36,1.19,1.29,2.01
MooL13.007,7,MooL13.01_07.JPG,moore,lake,moore.L,5.71,6.27,11.47,2.11,9.59,2.98,11.1,2.71,4.07,4.16,14.27,7.79,6.01,22.89,1201.23,48.47,7,MooL13.01_07.JPG,moore,lake,10.96,3.07,2.32,4.61,5.39,3.61,11.38,8.02,4.45,2.87,MooL13.01_07,Moore,0,yes,1.53,48.62,8.65,6,8.69,6,,18,18,MooL13.01_07.JPG,1.13,1.15,1.2,2.45
MooL13.008,8,MooL13.01_08.JPG,moore,lake,moore.L,5.84,4.32,14.53,2.68,12.38,3.14,13.9,3.05,5.35,5.02,17.71,8.99,7.6,25.6,1703.14,57.72,8,MooL13.01_08.JPG,moore,lake,12.15,4.13,3.8,6,7.04,4.78,12.92,9.55,5.9,3.6,MooL13.01_08,Moore,0,yes,3.06,56.58,9.26,5,8.89,5,,19,20 one raker became more clear,MooL13.01_08a.JPG,1.19,1.07,1.15,2.48
MooL13.009,9,MooL13.01_09.JPG,moore,lake,moore.L,5.4,6.41,11.8,2.09,8.27,2.75,11.03,2.48,3.81,4.33,13.87,7.33,6.28,21.97,1012.62,49.29,9,MooL13.01_09.JPG,moore,lake,9.63,2.94,2.52,3.79,5.39,3.66,11.52,7.64,4.38,2.62,MooL13.01_09,Moore,0,yes,1.53,48.28,8.83,5,8.97,6,,18,18,MooL13.01_09.JPG,0.82,0.9,0.86,2.74
MooL13.010,10,MooL13.01_10.JPG,moore,lake,moore.L,4.22,4.92,8.42,1.5,7.71,2.27,7.99,1.75,2.65,3.66,10.89,5.63,4.8,16.46,673.71,37.54,10,MooL13.01_10.JPG,moore,lake,7.69,2.23,1.98,3.28,3.69,2.31,8.58,5.49,3.34,2.21,MooL13.01_10,Moore,0,no,0.64,36.61,6.91,6,6.65,6,,19,17 left two along mouth,MooL13.01_10a.JPG,1.01,0.86,0.94,4.01
MooL13.011,11,MooL13.01_11_side_retake.JPG,moore,lake,moore.L,4.96,4.43,8.3,1.57,6.19,2.22,7.77,1.56,2.12,3.33,9.69,5.4,4.9,16.59,423.96,36.77,11,MooL13.01_11.JPG,moore,lake,7.84,2.05,1.59,2.76,3.67,2.25,8.49,5.59,3.4,2.29,MooL13.01_11,Moore,0,no,0.6,36.68,7.12,6,7.36,6,,22,22,MooL13.01_11a.JPG,0.68,0.63,0.56,4.87
MooL13.012,12,MooL13.01_12.JPG,moore,lake,moore.L,4.34,5.11,8.3,1.7,7.76,2.21,8.39,1.51,2.54,3.47,10.3,6,5.06,17.62,726.41,38.42,12,MooL13.01_12.JPG,moore,lake,7.78,2.28,1.99,3.08,4.3,2.22,9.5,6.45,3.55,2.3,MooL13.01_12,Moore,0,no,0.73,38.18,6.21,5,6.48,6,,18,12 6 along mouth that I couldnt get,MooL13.01_12.JPG,0.73,0.74,0.54,4
MooL13.013,13,MooL13.01_13.JPG,moore,lake,moore.L,5,5.75,7.99,1.6,6.93,2.4,8.11,1.79,2.75,3.6,10.99,5.85,5.3,19.19,686.2,37.66,13,MooL13.01_13.JPG,moore,lake,8.13,2.23,1.68,3.11,3.84,2.55,9.14,5.9,3.25,2.12,MooL13.01_13,Moore,0,no,0.68,37.18,7.6,6,7.07,5,,18,18,MooL13.01_13a.JPG,0.71,0.6,0.64,4
MooL13.014,14,MooL13.01_14.JPG,moore,lake,moore.L,5.6,5.92,12.7,2.24,9.08,2.86,10.99,2.57,3.39,4.13,13.31,7.68,5.8,22.33,1114.56,47.53,14,MooL13.01_14.JPG,moore,lake,9.8,3.09,2.32,4.17,5.03,3.45,12.23,8.01,4.34,2.5,MooL13.01_14,Moore,0,yes,1.49,47.8,8.34,6,8.43,5,,18,15 3 along bottom got snipped off,MooL13.01_14.JPG,0.85,0.71,0.76,2.7
MooL13.015,15,MooL13.01_15.JPG,moore,lake,moore.L,7.27,7.53,15.76,2.8,12.51,3.95,15.08,2.56,3.79,4.96,15.73,9.64,7.54,27.31,1888.5,61.31,15,MooL13.01_15.JPG,moore,lake,12.68,3.89,3.63,6.8,6.95,4.31,13.47,9.6,5.71,3.33,MooL13.01_15,Moore,0,yes,4.01,60.42,10.23,6,10.13,6,,20,20 a couple alomg top and bottom got clipped off but was to verify count out of fish,MooL13.01_15.JPG,0.92,0.98,0.91,3.14
MooL13.016,16,MooL13.01_16.JPG,moore,lake,moore.L,5.44,6.1,13,1.91,10.13,2.59,10.6,2.04,3.45,4.21,13.08,6.89,6.06,21.09,1117.3,47.95,16,MooL13.01_16.JPG,moore,lake,10.19,2.74,2.44,3.79,4.96,2.73,9.61,6.39,4.32,2.89,MooL13.01_16,Moore,0,no,1.41,46.43,7.71,7,7.92,7,,18,18,MooL13.01_16.JPG,1,0.96,0.91,2.98
MooL13.017,17,MooL13.01_17_side_retake.JPG,moore,lake,moore.L,4.91,5.46,10.36,1.86,6.72,2.95,9.71,2.3,2.85,3.51,11.58,6.05,5.4,18.72,538.22,41.91,17,MooL13.01_17.JPG,moore,lake,9.11,2.6,1.82,3.4,4.58,2.93,9.8,6.57,4.17,2.49,MooL13.01_17,Moore,0,no,1,41.35,7.38,7,7.27,6,,18,18,MooL13.01_17.JPG,0.45,0.51,0.28,3.84
MooL13.018,18,MooL13.01_18.JPG,moore,lake,moore.L,5.3,5.45,10.27,1.75,8.52,2.5,9.76,2.33,3.43,3.73,12.54,5.62,5.81,18.47,815.09,43.29,18,MooL13.01_18.JPG,moore,lake,9.45,2.63,2.14,3.22,4.52,2.7,9.55,6.47,4.18,2.69,MooL13.01_18,Moore,0,yes,1.02,42.61,8.08,6,7.83,6,,19,19,MooL13.01_18.JPG,0.79,0.7,0.74,3.19
MooL13.019,19,MooL13.01_19.JPG,moore,lake,moore.L,6.48,7.4,16.56,2.68,10.93,3.52,14.53,2.53,4.99,5.48,17.99,9.63,7.4,27.22,1875.91,60.69,19,MooL13.01_19.JPG,moore,lake,12.92,4.88,4.71,6.18,7.5,5.44,14.32,10.65,5.46,3.22,MooL13.01_19,Moore,0,yes,3.27,58.94,9.46,6,9.32,7,,20,20,MooL13.01_19.JPG,1.11,0.94,0.95,2.53
MooL13.020,20,MooL13.01_20.JPG,moore,lake,moore.L,7.11,7.4,16.1,2.73,12.58,3.18,14.43,3.57,5.14,5.61,18.16,10.81,7.24,28.58,2071.7,61.13,20,MooL13.01_20.JPG,moore,lake,13.63,4.12,3.36,6.37,6.83,4.88,13.49,9.3,6.15,3.86,MooL13.01_20,Moore,0,yes,3.46,59.42,9.93,5,9.95,6,,19,19,MooL13.01_20.JPG,1.2,1.14,1.17,2.52
MooL13.021,21,MooL13.01_21.JPG,moore,lake,moore.L,7.86,8.87,16.05,2.66,12.05,3.33,15.65,2.54,4.55,5.39,17.66,11.88,8.81,31.54,2269.34,63.36,21,MooL13.01_21.JPG,moore,lake,12.6,4.37,4.67,7.7,8.59,6.05,14.12,9.86,5.8,3.38,MooL13.01_21,Moore,0,yes,4.6,60.97,10.68,6,10.15,6,,18,18,MooL13.01_21.JPG,1.05,1.2,0.97,2.06
MooL13.022,22,MooL13.01_22.JPG,moore,lake,moore.L,6.96,7.84,16.52,2.82,12.73,3.89,14.54,3.36,5.65,5.4,19.03,11.31,8.2,30.92,2441.54,61.32,22,MooL13.01_22.JPG,moore,lake,12.83,4.26,4.33,5.99,7.43,5.03,14.09,10.35,5.52,3.03,MooL13.01_22,Moore,0,yes,3.16,60.01,10.44,5,10.67,5,,21,23 two along mouth became more obvious upon removal-consider as real count,MooL13.01_22.JPG,1.43,1.17,1.21,2.73
MooL13.023,23,MooL13.01_23.JPG,moore,lake,moore.L,6.32,6.41,14.72,2.33,11.01,3.65,12.76,2.75,4.76,5.02,16.76,9.81,7.54,28.37,1774.1,58.29,23,MooL13.01_23.JPG,moore,lake,9.92,2.94,2.44,4.2,4.88,3.43,10.42,7.16,4.2,2.57,MooL13.01_23,Moore,0,yes,2.65,57.48,8.71,6,8.46,6,,21,21 few along mouth got clipped off but was able to recount to verify,MooL13.01_23.JPG,1.4,1.01,0.95,2.25
MooL13.024,24,MooL13.01_24.JPG,moore,lake,moore.L,5.02,5.44,9.29,1.6,6.64,2.82,8.21,1.91,2.38,3.43,10.28,5.69,4.52,16.63,643.47,38.89,24,MooL13.01_24.JPG,moore,lake,8,2.21,1.76,3.35,3.94,2.16,8.72,5.77,3.87,2.42,MooL13.01_24,Moore,0,no,0.75,38.74,6.88,6,7.06,6,,22,22,MooL13.01_24.JPG,0.74,0.67,0.68,4.48
MooL13.025,25,MooL13.01_25.JPG,moore,lake,moore.L,5.2,5.6,11.38,1.68,8.45,2.59,9.93,2.06,3.53,4.22,13.08,6.12,6.04,19.67,942.84,46.58,25,MooL13.01_25.JPG,moore,lake,13.08,4.05,3.11,5.46,6.96,5.47,13.25,9.34,4.84,2.89,MooL13.01_25,Moore,0,yes,1.24,46.16,8.28,7,8,6,,19,19,MooL13.01_25b.JPG,0.97,0.84,1,2.99
MooL13.026,26,MooL13.01_26.JPG,moore,lake,moore.L,6.85,7.29,14.16,2.23,10.33,3.31,13.81,2.28,3.84,4.92,15.74,9.43,7.32,25.86,1670.02,56.23,26,MooL13.01_26.JPG,moore,lake,11.88,3.46,3,6.31,6.76,4.41,12.88,8.9,5.14,3.09,MooL13.01_26,Moore,0,yes,2.79,54.16,9.2,6,9.28,6,,20,18 lost two along the mouth,MooL13.01_26a.JPG,0.93,0.93,0.73,2.55
MooL13.027,27,MooL13.01_27.JPG,moore,lake,moore.L,5.28,5.81,11.2,1.81,8.2,2.39,9.87,2.12,3.07,3.86,11.84,6.67,5.27,19.31,879.61,42.95,27,MooL13.01_27.JPG,moore,lake,8.99,2.52,2.41,3.41,4.4,2.6,9.73,6.85,4.15,2.74,MooL13.01_27,Moore,0,yes,1.09,43.09,7.38,6,7.63,6,,17,17,MooL13.01_27.JPG,0.73,0.73,0.52,3.45
MooL13.028,28,MooL13.01_28_side_retake.JPG,moore,lake,moore.L,5.63,6.38,11.22,2.35,9.38,3.29,12.28,2.41,3.77,3.87,14.13,7.18,6.46,22.21,812.62,51.88,28,MooL13.01_28.JPG,moore,lake,10.89,3.35,2.37,4.94,5.88,3.67,12.08,8.35,5.03,3.23,MooL13.01_28,Moore,0,yes,2.01,51.32,8.61,6,8.74,5,,17,17,MooL13.01_28a.JPG,0.97,1.02,1.02,2.6
MooL13.029,29,MooL13.01_29.JPG,moore,lake,moore.L,6.74,NA,14.28,2.53,10.61,3.05,13.82,2.64,4.58,5.42,16.84,10.06,7.56,27.07,1799.99,59.49,29,MooL13.01_29.JPG,moore,lake,11.25,4.31,4.56,6.37,7.06,5.27,13.88,10.14,5.15,3.14,MooL13.01_29,Moore,0,yes,3.13,57.25,8.36,5,8.5,6,,18,18,MooL13.01_29.JPG,0.82,0.76,0.68,2.9
MooL13.030,30,MooL13.01_30.JPG,moore,lake,moore.L,5.49,6.48,11.42,2.1,8.64,3.08,10.9,2.63,3.62,4.1,13.66,6.71,6.2,20.94,1029.17,45.76,30,MooL13.01_30.JPG,moore,lake,10.43,2.66,1.64,4.46,5.13,3.12,10.78,7.58,4.67,2.98,MooL13.01_30,Moore,0,no,1.43,45.2,8.83,6,8.8,6,,17,17,MooL13.01_30a.JPG,1.17,1.16,1.21,2.35
MooL13.031,31,MooL13.01_31.JPG,moore,lake,moore.L,7.34,8.8,16.63,2.98,11.32,3.5,14.87,2.84,5.08,5.67,18.02,8.99,8.41,28.03,1872.75,61.48,31,MooL13.01_31.JPG,moore,lake,13.52,4.19,3.88,6.34,7.83,5.58,15.31,10.94,5.15,3.05,MooL13.01_31,Moore,0,yes,3.59,59.91,7.79,6,10.89,6,legit spine diff.,18,18,MooL13.01_31.JPG,1.16,1.12,1.06,1.82
MooL13.032,32,MooL13.01_32.JPG,moore,lake,moore.L,5.75,6.44,12.02,2.11,9.45,2.49,11.37,2.49,3.47,3.99,13.37,7.58,6.41,22.39,1272.25,49.08,32,MooL13.01_32.JPG,moore,lake,9.65,3.11,2.53,4.27,5.25,3.28,11.41,7.79,4.32,2.63,MooL13.01_32,Moore,0,no,1.59,48.67,8.86,5,8.95,5,,17,17,MooL13.01_32.JPG,0.85,0.95,0.84,2.72
MooL13.033,33,MooL13.01_33.JPG,moore,lake,moore.L,6.12,6.3,14.6,2.76,10.56,3.17,13.26,3.31,4.8,4.75,16.59,9.2,7.29,26.85,1830.75,56.84,33,MooL13.01_33.JPG,moore,lake,12.44,3.54,2.77,5.46,6.06,3.71,12.86,8.74,5.67,3.5,MooL13.01_33,Moore,0,yes,2.75,56.3,8.87,6,8.95,6,,18,18,MooL13.01_33a.JPG,1.34,1.25,1.25,2.33
MooL13.034,34,MooL13.01_34.JPG,moore,lake,moore.L,7.26,8.07,13.99,2.57,10.33,3.58,14.48,2.93,4.95,5.59,18.55,9.58,7.25,26.51,1747.84,59.69,34,MooL13.01_34.JPG,moore,lake,13.83,4.43,3.49,6.94,7.72,5.96,15.02,10.75,4.9,3.12,MooL13.01_34,Moore,0,no,3.22,58.99,9.58,6,10.25,6,,20,20,MooL13.01_34.JPG,1.21,1.19,1.23,2.15
MooL13.035,35,MooL13.01_35.JPG,moore,lake,moore.L,4.96,5.95,10.91,1.62,8.69,2.41,9.97,2.62,3.27,4.04,12.77,7.17,6.3,21.15,1074.1,46.12,35,MooL13.01_35.JPG,moore,lake,9.31,2.53,2.14,3.25,4.7,3.05,10.14,6.34,4.3,2.53,MooL13.01_35,Moore,0,no,1.22,46.18,8.2,8,8.24,8,,20,20,MooL13.01_35.JPG,0.96,1.03,0.92,2.84
MooL13.036,36,MooL13.01_36.JPG,moore,lake,moore.L,6.35,7.14,15.27,2.59,10.98,3.1,13.95,3.15,4.07,5.38,16.45,10.02,8.19,28.23,1904.52,60.9,36,MooL13.01_36.JPG,moore,lake,14.66,3.94,3.85,6.09,7.27,5.13,14.97,9.82,5.26,3.26,MooL13.01_36,Moore,0,no,3.47,59.89,9.32,5,9.39,6,,18,18,MooL13.01_36.JPG,1.03,0.94,0.83,2.6
MooL13.037,37,MooL13.01_37.JPG,moore,lake,moore.L,7.32,7.68,14.45,2.69,10.87,2.99,15.24,2.49,4.69,5.43,17.94,10.61,8.05,29.57,2135.15,62.42,37,MooL13.01_37.JPG,moore,lake,12.88,4.27,3.47,7.14,7.64,5.59,14.75,11.14,5.48,3.34,MooL13.01_37,Moore,0,no,3.67,61.1,7.74,6,9.69,6,legit spine diff.,17,17,MooL13.01_37.JPG,1.33,1.1,1.16,2.21
MooL13.038,38,MooL13.01_38.JPG,moore,lake,moore.L,7.57,8.26,16.11,2.52,10.3,3.22,14.63,2.76,4.08,5.24,16.52,10.19,7.77,27.94,1938.42,61.9,38,MooL13.01_38.JPG,moore,lake,12.43,4.12,4.13,6.54,7.61,5.31,14.63,10.56,5.37,2.94,MooL13.01_38,Moore,0,no,3.83,60.75,9.97,5,10.69,5,,21,21,MooL13.01_38.JPG,0.97,1,1.03,2.55
MooL13.039,39,MooL13.01_39.JPG,moore,lake,moore.L,7.65,8.6,15.85,2.76,10.5,4.17,16.05,2.55,4.73,4.59,16.92,9.79,8.08,28.62,2038.06,62.93,39,MooL13.01_39.JPG,moore,lake,13.06,4.14,3.49,8.23,8.82,6.68,16.05,11.75,5.86,3.36,MooL13.01_39,Moore,0,no,4.75,61.27,11.16,6,11.55,6,,21,19 two along bottom got left behind,MooL13.01_39.JPG,0.8,0.83,1.03,2.65
MooL13.040,40,MooL13.01_40.JPG,moore,lake,moore.L,6.28,7.19,13.26,2.3,10.73,2.78,12.77,3.5,4.67,5.02,16.33,8.1,6.56,24.07,1410.52,53.8,40,MooL13.01_40.JPG,moore,lake,11.24,3.66,3.03,4.92,6.02,3.83,11.89,7.82,5.13,3.09,MooL13.01_40,Moore,0,no,2.09,51.94,10.06,6,9.87,7,,20,20,MooL13.01_40.JPG,1.05,1.02,1.03,2.64
MooS13.001,1,MooS13.01_01.JPG,moore,stream,moore.S,8.22,9.06,18.52,3.23,15.05,4.22,17.36,3.29,6.03,5.74,19.92,11.5,8.85,31.75,2321.17,66.41,1,MooS13.01_01.JPG,moore,stream,14.23,5.3,4.68,7.47,8.29,5.9,15.63,11.53,6.85,4.29,MooS13.01_01,Moore,1,yes,5.34,64.84,11.57,5,11.89,5,,19,19,MooS13.01_01.JPG,1.5,1.45,1.38,2.09
MooS13.002,2,MooS13.01_02.JPG,moore,stream,moore.S,5.97,6.2,11.91,2.32,9.35,3.11,12.12,2.23,3.75,4.29,13.76,7.93,6.7,23.63,1300.59,48.72,2,MooS13.01_02.JPG,moore,stream,10.68,3.21,2.46,4.77,5.67,4.02,12.61,8.59,4.93,3.04,MooS13.01_02,Moore,1,no,1.79,47.8,8.87,6,8.3,7,,18,17,MooS13.01_02.JPG,1.4,0.99,1.01,3.27
MooS13.003,3,MooS13.01_03.JPG,moore,stream,moore.S,8.11,8.68,20.19,3.15,12.85,3.05,17.73,3.51,4.89,5.18,18.58,10.1,9.59,31.83,2461.01,68.95,3,MooS13.01_03.JPG,moore,stream,13.43,4.31,2.85,8.66,9.18,7.23,17.08,12.25,6.55,4.09,MooS13.01_03,Moore,1,yes,5.36,67.58,10.96,6,11.81,6,,18,18,MooS13.01_03c.JPG,1.53,1.43,1.4,2
MooS13.004,4,MooS13.01_04.JPG,moore,stream,moore.S,6.47,8.27,14.79,2.43,12.63,3.52,14.69,2.48,4.59,4.91,16.66,9.75,7.52,26.97,1645.93,61.63,4,MooS13.01_04.JPG,moore,stream,12.56,4.35,2.84,5.94,7.42,5.61,14.78,10.98,5.04,2.84,MooS13.01_04,Moore,1,yes,3.07,58.98,9.48,6,9.81,6,,18,17,MooS13.01_04d.JPG,0.82,1.07,0.98,2.6
